Player,BattingAverage
Skip Schumaker,0.278
Red Smith,0.278
Ray Chapman,0.278
Max Flack,0.278
Jim Ray Hart,0.278
Cliff Floyd,0.278
Steve Kemp,0.278
George Bell,0.278
Mike Mitchell,0.278
Ken Oberkfell,0.278
Johnny Bates,0.278
J.D. Drew,0.278
Jorge Orta,0.278
George Hendrick,0.278
Cesar Tovar,0.278
Claudell Washington,0.278
Johnny Grubb,0.278
Hoot Evers,0.278
Pablo Sandoval,0.278
Doug Glanville,0.277
Bob Skinner,0.277
Ryan Zimmerman,0.277
Vic Wertz,0.277
Yadier Molina,0.277
Michael Cuddyer,0.277
Joe Adcock,0.277
Ray Durham,0.277
Marco Scutaro,0.277
Bob Horner,0.277
Melvin Mora,0.277
Joey Cora,0.277
Jerry Lynch,0.277
Herman Long,0.277
Orlando Merced,0.277
Fred Luderus,0.277
Joe Kuhel,0.277
Chick Gandil,0.277
David Freese,0.277
Alex Rios,0.277
Jacque Jones,0.277
Dolph Camilli,0.277
Art Fletcher,0.277
Torii Hunter,0.277
Ron Santo,0.277
Hank Bauer,0.277
Amos Otis,0.277
Harry Davis,0.277
Enos Cabell,0.277
Bobby Murcer,0.277
Adam Jones,0.277
Deacon McGuire,0.277
Jason Giambi,0.277
Leon Durham,0.277
Lou Whitaker,0.276
Jim Thome,0.276
Dave Foutz,0.276
Mel Hall,0.276
Roy Cullenbine,0.276
George McQuinn,0.276
Al Martin,0.276
Ken Keltner,0.276
Vinny Castilla,0.276
Danny Cater,0.276
Chone Figgins,0.276
Eric Hosmer,0.276
Roy Campanella,0.276
Gil McDougald,0.276
Brian Roberts,0.276
Mark Kotsay,0.276
Gary Ward,0.276
Greg Luzinski,0.276
Dave Martinez,0.276
Randy Velarde,0.276
Jack Rothrock,0.276
Al Zarilla,0.276
Elmer Smith,0.276
Richie Hebner,0.276
Derek Bell,0.276
Cal Ripken Jr.,0.276
Willie Randolph,0.276
Lee Magee,0.276
Topsy Hartsel,0.276
Ron Northey,0.276
Tom Daly,0.276
Ping Bodie,0.275
Rich Aurilia,0.275
Duke Farrell,0.275
Jerry Remy,0.275
Wally Backman,0.275
Rudy York,0.275
Shane Victorino,0.275
Muddy Ruel,0.275
Geoff Jenkins,0.275
Cliff Heathcote,0.275
Brandon Phillips,0.275
Marv Owen,0.275
Marlon Byrd,0.275
Jimmy Williams,0.275
Chase Utley,0.275
Gerardo Parra,0.275
Irv Noren,0.275
David DeJesus,0.275
Jose Cardenal,0.275
Ray Boone,0.275
Bernard Gilkey,0.275
Shin-Soo Choo,0.275
Willie Montanez,0.275
Chili Davis,0.274
Eric McNair,0.274
Hans Lobert,0.274
Trot Nixon,0.274
Troy O'Leary,0.274
Elston Howard,0.274
Mookie Wilson,0.274
Ernie Banks,0.274
George Foster,0.274
Orlando Palmeiro,0.274
Jermaine Dye,0.274
Rennie Stennett,0.274
Willard Marshall,0.274
Jim Gantner,0.274
Travis Fryman,0.274
Jimmy Sheckard,0.274
David Murphy,0.274
Lee Maye,0.274
Juan Beniquez,0.274
Jonathan Lucroy,0.274
Kevin Millar,0.274
Donn Clendenon,0.274
Bucky Harris,0.274
Francisco Lindor,0.274
Mike Lieberthal,0.274
Nick Castellanos,0.274
Frank Malzone,0.274
Carlos Correa,0.274
Nelson Cruz,0.274
Juan Rivera,0.274
Bengie Molina,0.274
Milt Thompson,0.274
Carlos May,0.274
Alex Bregman,0.274
Larry Herndon,0.274
Andy Van Slyke,0.274
Wilbert Robinson,0.273
George Browne,0.273
Frank Howard,0.273
Orlando Hudson,0.273
Claude Ritchey,0.273
Raul Mondesi,0.273
Andrew McCutchen,0.273
Fred Merkle,0.273
Gil Hodges,0.273
Wil Cordero,0.273
Larry Biittner,0.273
Joe Orsulak,0.273
Sammy Sosa,0.273
Jorge Posada,0.273
Ben Oglivie,0.273
Bob O'Farrell,0.273
Willie Horton,0.273
Bobby Lowe,0.273
Phil Rizzuto,0.273
Jose Offerman,0.273
Chet Lemon,0.273
Ron Hunt,0.273
Todd Hollandsworth,0.273
Ronnie Belliard,0.273
"Sandy Alomar, Jr.",0.273
Scott Hatteberg,0.273
Aaron Rowand,0.273
Travis Hafner,0.273
Peanuts Lowrey,0.273
Bill Bruton,0.273
Rick Burleson,0.273
Austin Jackson,0.273
Tony Womack,0.273
Danny Tartabull,0.273
Larry Hisle,0.273
Roger Cedeno,0.273
AJ Pollock,0.273
Adam Lind,0.272
Tito Francona,0.272
Jamey Carroll,0.272
John Ward,0.272
Rance Mulliniks,0.272
Jim Piersall,0.272
Kris Bryant,0.272
Raul Ibanez,0.272
Al Smith,0.272
Bobby Higginson,0.272
Bill Dahlen,0.272
Dave Collins,0.272
Marquis Grissom,0.272
Buck Weaver,0.272
Ken Caminiti,0.272
Bill Sweeney,0.272
Harlond Clift,0.272
Dwight Evans,0.272
Ossie Bluege,0.272
Adam Kennedy,0.272
Bill Hallman,0.272
Omar Vizquel,0.272
Orlando Cabrera,0.272
Marcell Ozuna,0.272
Ray Lankford,0.272
Norm Siebern,0.272
Leon Wagner,0.272
Rey Sanchez,0.272
Ray Knight,0.271
Tim McCarver,0.271
Garry Templeton,0.271
Norm Cash,0.271
Doug Mientkiewicz,0.271
Sixto Lezcano,0.271
Johnny Kling,0.271
Duane Kuiper,0.271
Bid McPhee,0.271
Myril Hoag,0.271
Joe Morgan,0.271
Denny Walling,0.271
Billy Werber,0.271
Merv Rettenmund,0.271
Eddie Mathews,0.271
Elbie Fletcher,0.271
Carl Everett,0.271
Steve Finley,0.271
Roy White,0.271
Cristian Guzman,0.271
Tom Herr,0.271
Heinie Peitz,0.271
Russ Snyder,0.271
Johnny Wyrostek,0.271
Steve Braun,0.271
Erick Aybar,0.271
Bill Bradley,0.271
Charlie Hemphill,0.271
Mike Lansing,0.271
Kid Elberfeld,0.271
Milton Bradley,0.271
Tommy Dowd,0.271
Omar Infante,0.271
Don Kolloway,0.271
Tino Martinez,0.271
Terry Steinbach,0.271
Max Bishop,0.271
Corey Hart,0.271
Burt Shotton,0.271
Bill Spiers,0.271
Glenallen Hill,0.271
J.T. Realmuto,0.271
Bobby Thomson,0.27
Davy Jones,0.27
Gene Moore,0.27
Rube Oldring,0.27
Johnny Evers,0.27
Alfonso Soriano,0.27
Frank Schulte,0.27
Jody Reed,0.27
Kevin Bass,0.27
Josh Harrison,0.27
Kitty Bransfield,0.27
Mike Marshall,0.27
Earl Battey,0.27
Jose Guillen,0.27
Alexei Ramirez,0.27
Jose Vizcaino,0.27
Vernon Wells,0.27
Phil Nevin,0.27
Dave Philley,0.27
Birdie Tebbetts,0.27
Al Cowens,0.27
Red Murray,0.27
Dan Gladden,0.27
Brook Jacoby,0.27
Walt Dropo,0.27
Hank Gowdy,0.27
Juan Encarnacion,0.27
Terry Pendleton,0.27
Dan Ford,0.27
Willie McCovey,0.27
Endy Chavez,0.27
Glenn Myatt,0.27
Otis Nixon,0.27
Mike Stanley,0.27
Jim Tabor,0.27
Chief Wilson,0.269
Shawon Dunston,0.269
Possum Whitted,0.269
Hector Lopez,0.269
Matty McIntyre,0.269
Cookie Lavagetto,0.269
Ian Kinsler,0.269
Pee Wee Reese,0.269
Tommy Leach,0.269
Chief Zimmer,0.269
Bobby Adams,0.269
Lyn Lary,0.269
Hubie Brooks,0.269
Willie Bloomquist,0.269
Rick Miller,0.269
Carlton Fisk,0.269
Stan Javier,0.269
Elvis Andrus,0.269
Deivi Cruz,0.269
Solly Hofman,0.269
Lenny Harris,0.269
Julio Lugo,0.269
Eric Davis,0.269
Andrew Benintendi,0.269
Lonny Frey,0.269
Art Devlin,0.269
Darrin Fletcher,0.269
Tommy Helms,0.269
Rich Rollins,0.269
Mark Teixeira,0.268
Mark DeRosa,0.268
Eddie Stanky,0.268
Johnny Logan,0.268
Hughie Critz,0.268
Matt Williams,0.268
Jimmy Slagle,0.268
Willie Crawford,0.268
Mickey Morandini,0.268
Joe Gordon,0.268
Dode Paskert,0.268
George Scott,0.268
Ken Landreaux,0.268
Billy Shindle,0.268
Bobby Wallace,0.268
Tito Fuentes,0.268
Delino DeShields,0.268
Gabe Kapler,0.268
Kirk Gibson,0.268
Bobby Bonds,0.268
George Wood,0.268
Eric Chavez,0.268
Eric Karros,0.268
Snuffy Stirnweiss,0.268
Eddie Robinson,0.268
Bill Nicholson,0.268
Tom Goodwin,0.268
Ruben Sierra,0.268
Aaron Ward,0.268
Jerry Lumpe,0.268
J.T. Snow,0.268
Mike Schmidt,0.267
Johnny Bench,0.267
Brooks Robinson,0.267
Shad Barry,0.267
Harry Steinfeldt,0.267
Brian Downing,0.267
Matt Lawton,0.267
Jim Northrup,0.267
Neifi Perez,0.267
Dan Driessen,0.267
César Hernández,0.267
Jayson Werth,0.267
Von Hayes,0.267
Neil Walker,0.267
Billy Nash,0.267
Billy Rogell,0.267
Wes Parker,0.267
Reggie Sanders,0.267
Lee May,0.267
Bill Virdon,0.267
Jhonny Peralta,0.267
Robin Ventura,0.267
Jim Russell,0.267
Blondie Purcell,0.267
Jack Clark,0.267
Dave Concepcion,0.267
Jay Johnstone,0.267
Roy Sievers,0.267
Mariano Duncan,0.267
Lenny Green,0.267
Lou Bierbauer,0.267
Dale Long,0.267
Joe Girardi,0.267
Sam Mele,0.267
Hank Sauer,0.266
Sam Chapman,0.266
Jason Bay,0.266
Ben Zobrist,0.266
Ron Fairly,0.266
Ricky Gutierrez,0.266
Bill Doran,0.266
Tony Kubek,0.266
Nemo Leibold,0.266
Sam Wise,0.266
Bobby Grich,0.266
Name,
